Timestamp (s),Voltage (V),LeftMotorVelocity (inches / s),RightMotorVelocity (inches / s)
25.29999999999955,6.0,95.81880812952117,-100.52837007589447
25.31999999999955,6.0,99.34357142857144,-101.22343522561863
25.33999999999955,6.0,101.48194089748267,-99.84278535534817
25.35999999999955,6.0,98.74405395811148,-99.628223495702
25.379999999999548,6.0,95.09811965811966,-96.9543394911119
25.399999999999547,6.0,100.16636658264315,-99.34357142857144
25.419999999999547,6.0,99.73538902832556,-100.78333333333333
25.439999999999547,6.0,92.32061068702289,-97.66924157303372
25.459999999999546,6.0,105.0064175160438,-107.19152215799616
25.479999999999546,6.0,95.03313973351554,-106.29040886511274
25.499999999999545,6.0,108.31853582554517,-103.98579439252336
25.519999999999545,6.0,99.52128801431128,-109.38340542666143
25.539999999999544,6.0,109.59889676910954,-105.80524914416128
25.559999999999544,6.0,105.0064175160438,-107.31558641975307
25.579999999999544,6.0,102.04035216434335,-103.90810608890548
25.599999999999543,6.0,111.9814814814815,-110.38174603174603
25.619999999999543,6.0,112.20734167002823,-113.90745290745292
25.639999999999542,6.0,99.73538902832556,-104.41516516516518
25.659999999999542,6.0,100.92960812772134,-111.39847817380857
25.67999999999954,6.0,106.65720858895705,-113.35044824775876
25.69999999999954,6.0,113.07398373983742,-108.78451310129059
25.71999999999954,6.0,105.72481946028125,-108.95495495495497
25.73999999999954,6.0,109.85860979462876,-108.27637212923315
25.75999999999954,6.0,109.426435877262,-105.16521739130435
25.77999999999954,6.0,110.68921607640272,-110.03243670886077
25.79999999999954,6.0,111.39847817380857,-111.9814814814815
25.81999999999954,6.0,111.35388310648518,-117.31843104175454
25.839999999999538,6.0,112.34329563812601,-114.23490759753594
25.859999999999538,6.0,116.2398662766402,-111.71164658634538
25.879999999999537,6.0,111.3093237294918,-118.5686274509804
25.899999999999537,6.0,108.69949198905823,-117.21955330804889
25.919999999999536,6.0,112.4341147938561,-115.08564335953662
25.939999999999536,6.0,115.08564335953662,-118.11549893842889
25.959999999999535,6.0,107.5645784996133,-110.82151394422311
25.979999999999535,6.0,118.77113578138344,-114.84805945499588
25.999999999999535,6.0,107.19152215799616,-114.80066033842346
26.019999999999534,6.0,114.61145447053977,-117.07154882154882
26.039999999999534,6.0,127.24702653247941,-113.95411716509626
26.059999999999533,6.0,120.94000000000001,-113.58187015108207
26.079999999999533,6.0,116.38577405857741,-115.08564335953662
26.099999999999532,6.0,119.7941429801895,-119.53674258702192
26.119999999999532,6.0,116.87478991596639,-110.86568353925868
26.13999999999953,6.0,117.81533248623465,-118.61918976545843
26.15999999999953,6.0,116.1427974947808,-119.63956989247312
26.17999999999953,6.0,117.46706081081082,-114.80066033842346
26.19999999999953,6.0,115.46782897467828,-117.12084210526315
26.21999999999953,6.0,126.03624830086089,-118.31646108039132
26.23999999999953,6.0,120.31228373702423,-117.56635672020288
26.25999999999953,6.0,117.91521831284443,-124.68041237113401
26.27999999999953,6.0,122.70048522276137,-121.78721541155866
26.299999999999528,6.0,111.75652872639616,-115.515780730897
26.319999999999528,6.0,125.63775971093045,-120.26026805015132
26.339999999999527,6.0,112.98212835093422,-122.43045774647888
26.359999999999527,6.0,119.58813413585555,-110.07597942223983
26.379999999999526,6.0,129.55845365626456,-112.79886455798865
26.399999999999526,6.0,123.40816326530613,-123.90289532293987
26.419999999999526,6.0,125.46774921064501,-128.2443522360535
26.439999999999525,6.0,123.35343680709535,-119.63956989247312
26.459999999999525,6.0,122.53832599118942,-121.04525674499564
26.479999999999524,6.0,120.5207972270364,-127.36355311355311
26.499999999999524,6.0,120.26026805015132,-127.94940202391903
26.519999999999524,6.0,119.89741379310344,-118.4171988080034
26.539999999999523,6.0,123.40816326530613,-132.6475917978064
26.559999999999523,6.0,117.61606765327696,-120.57303857824014
26.579999999999522,6.0,124.62455197132617,-114.7059793814433
26.599999999999522,6.0,127.65580541532813,-130.65382808830438
26.61999999999952,6.0,119.48539518900344,-110.46942017474186
26.63999999999952,6.0,119.53674258702192,-118.31646108039132
26.65999999999952,6.0,127.24702653247941,-125.46774921064501
26.67999999999952,6.0,114.188013136289,-125.6945323090827
26.69999999999952,6.0,126.89872262773723,-117.41747572815534
26.71999999999952,6.0,131.45652173913044,-121.04525674499564
26.73999999999952,6.0,125.41118124436429,-123.4629383044829
26.75999999999952,6.0,123.84772929652716,-126.15056689342404
26.779999999999518,6.0,122.91736632788334,-114.04756047560475
26.799999999999518,6.0,121.84056066579063,-126.20780399274048
26.819999999999517,6.0,129.37767441860464,-119.07619863013699
26.839999999999517,6.0,132.6475917978064,-126.379827351204
26.859999999999516,6.0,116.48324958123953,-130.89976470588235
26.879999999999516,6.0,125.58103837471783,-118.87264957264958
26.899999999999515,6.0,125.3546642631816,-127.65580541532813
26.919999999999515,6.0,125.922136713445,-125.2981981981982
26.939999999999515,6.0,131.14662894860916,-128.60009246417013
26.959999999999514,6.0,131.33238904627007,-121.73391684901532
26.979999999999514,6.0,117.02229701304165,-125.2981981981982
26.999999999999513,6.0,129.4981378026071,-124.06868867082962
